start_date,end_date,title,description,source_time
"2026-11-12","2026-11-12","Last day to withdraw with a W grade of 14-week classes. Last day to change grading basis of 14-week classes.","DKU Academic Calendar 2026-2027. Thursday. Last day to withdraw with a W grade of 14-week classes. Last day to change grading basis of 14-week classes.","Thursday."
"2026-11-26","2026-11-26","Graduate classes end (ECE classes continue); last day to withdraw with a W grade of second 7-week classes; last day to change grading basis of second 7-week classes; last day to resolve I grade of first 7-week classes.","DKU Academic Calendar 2026-2027. Thursday. Graduate classes end (ECE classes continue); last day to withdraw with a W grade of second 7-week classes; last day to change grading basis of second 7-week classes; last day to resolve I grade of first 7-week classes.","Thursday."
"2026-11-27","2026-12-01","Graduate reading days; ECE classes continue.","DKU Academic Calendar 2026-2027. Friday - Tuesday. Graduate reading days; ECE classes continue.","Friday - Tuesday."
"2026-12-02","2026-12-04","Graduate exams.","DKU Academic Calendar 2026-2027. Wednesday - Friday. Graduate exams.","Wednesday - Friday."
"2026-12-03","2026-12-03","ECE classes end.","DKU Academic Calendar 2026-2027. Thursday. ECE classes end.","Thursday."
"2026-12-04","2026-12-08","ECE program reading days.","DKU Academic Calendar 2026-2027. Friday - Tuesday. ECE program reading days.","Friday - Tuesday."
"2026-12-09","2026-12-11","ECE program exam period.","DKU Academic Calendar 2026-2027. Wednesday - Friday. ECE program exam period.","Wednesday - Friday."
"2026-12-10","2026-12-10","Second 7-week undergraduate session ends.","DKU Academic Calendar 2026-2027. Thursday. Second 7-week undergraduate session ends.","Thursday."
"2026-12-11","2026-12-13","Undergraduate reading period.","DKU Academic Calendar 2026-2027. Friday - Sunday. Undergraduate reading period.","Friday - Sunday."
"2026-12-14","2026-12-17","Undergraduate final examinations.","DKU Academic Calendar 2026-2027. Monday - Thursday. Undergraduate final examinations.","Monday - Thursday."
"2026-12-18","2026-12-18","All residence halls close for Winter Break.","DKU Academic Calendar 2026-2027. Friday at 13:00 PM. All residence halls close for Winter Break.","Friday at 13:00 PM."
"2027-01-09","2027-01-09","All residence halls reopen.","DKU Academic Calendar 2026-2027. Saturday at 9:00 AM. All residence halls reopen.","Saturday at 9:00 AM."
"2027-01-11","2027-01-11","Undergraduate and graduate classes begin.","DKU Academic Calendar 2026-2027. Monday. Undergraduate and graduate classes begin.","Monday."
"2027-01-14","2027-01-14","Drop/add ends for first 7-week undergraduate session.","DKU Academic Calendar 2026-2027. Thursday. Drop/add ends for first 7-week undergraduate session.","Thursday."
"2027-01-21","2027-01-21","Drop/add ends for 14-week undergraduate session.","DKU Academic Calendar 2026-2027. Thursday. Drop/add ends for 14-week undergraduate session.","Thursday."
"2027-01-22","2027-01-22","Drop/add ends for graduate classes.","DKU Academic Calendar 2026-2027. Friday. Drop/add ends for graduate classes.","Friday."
"2027-02-05","2027-02-14","Spring Festival Holiday - Chinese New Year - No classes.","DKU Academic Calendar 2026-2027. Friday - Sunday. Spring Festival Holiday - Chinese New Year - No classes.","Friday - Sunday."
"2027-02-15","2027-02-15","All classes resume.","DKU Academic Calendar 2026-2027. Monday. All classes resume.","Monday."
"2027-02-18","2027-02-18","Last day to withdraw with a W grade of first 7-week classes; last day to change grading basis of first 7-week classes; last day to resolve I grade of fall 2026 second 7-week classes.","DKU Academic Calendar 2026-2027. Thursday. Last day to withdraw with a W grade of first 7-week classes; last day to change grading basis of first 7-week classes; last day to resolve I grade of fall 2026 second 7-week classes.","Thursday."
"2027-03-04","2027-03-04","First 7-week undergraduate session ends.","DKU Academic Calendar 2026-2027. Thursday. First 7-week undergraduate session ends.","Thursday."
"2027-03-05","2027-03-07","Undergraduate reading days.","DKU Academic Calendar 2026-2027. Friday - Sunday. Undergraduate reading days.","Friday - Sunday."
"2027-03-08","2027-03-11","First 7-week undergraduate session final examinations. Graduate classes continue.","DKU Academic Calendar 2026-2027. Monday - Thursday. First 7-week undergraduate session final examinations. Graduate classes continue.","Monday - Thursday."
"2027-03-15","2027-03-19","Mini-term week for undergraduate students; Spring recess for graduate programs.","DKU Academic Calendar 2026-2027. Monday - Friday. Mini-term week for undergraduate students; Spring recess for graduate programs.","Monday - Friday."
"2027-03-22","2027-03-22","Second 7-week undergraduate session begins.","DKU Academic Calendar 2026-2027. Monday. Second 7-week undergraduate session begins.","Monday."
"2027-03-25","2027-03-25","Drop/add ends for second 7-week undergraduate session.","DKU Academic Calendar 2026-2027. Thursday. Drop/add ends for second 7-week undergraduate session.","Thursday."
"2027-04-05","2027-04-05","Qing Ming - Tomb Sweeping Day - No classes.","DKU Academic Calendar 2026-2027. Monday. Qing Ming - Tomb Sweeping Day - No classes.","Monday."
"2027-04-06","2027-04-06","The Monday class schedule is in effect on this day.","DKU Academic Calendar 2026-2027. Tuesday. The Monday class schedule is in effect on this day.","Tuesday."
"2027-04-07","2027-04-07","The Tuesday class schedule is in effect on this day.","DKU Academic Calendar 2026-2027. Wednesday. The Tuesday class schedule is in effect on this day.","Wednesday."
"2027-04-08","2027-04-08","The Wednesday class schedule is in effect on this day.","DKU Academic Calendar 2026-2027. Thursday. The Wednesday class schedule is in effect on this day.","Thursday."
"2027-04-09","2027-04-09","The Thursday class schedule is in effect on this day. Last day to withdraw with a W grade of 14-week classes. Last day to change grading basis of 14-week classes.","DKU Academic Calendar 2026-2027. Friday. The Thursday class schedule is in effect on this day. Last day to withdraw with a W grade of 14-week classes. Last day to change grading basis of 14-week classes.","Friday."
"2027-04-22","2027-04-22","Graduate classes end (ECE classes continue); last day to withdraw with a W grade of second 7-week classes; last day to change grading basis for second 7-week classes; last day for I grade change of spring 2027 first 7-week classes.","DKU Academic Calendar 2026-2027. Thursday. Graduate classes end (ECE classes continue); last day to withdraw with a W grade of second 7-week classes; last day to change grading basis for second 7-week classes; last day for I grade change of spring 2027 first 7-week classes.","Thursday."
"2027-04-23","2027-04-27","Graduate reading days.","DKU Academic Calendar 2026-2027. Friday - Tuesday. Graduate reading days.","Friday - Tuesday."
"2027-04-28","2027-04-30","Graduate exams; ECE classes continue.","DKU Academic Calendar 2026-2027. Wednesday - Friday. Graduate exams; ECE classes continue.","Wednesday - Friday."
"2027-04-29","2027-04-29","ECE classes end.","DKU Academic Calendar 2026-2027. Thursday. ECE classes end.","Thursday."
"2027-04-30","2027-05-04","ECE program reading days.","DKU Academic Calendar 2026-2027. Friday - Tuesday. ECE program reading days.","Friday - Tuesday."
"2027-05-01","2027-05-03","International Labor Day Holiday - No classes.","DKU Academic Calendar 2026-2027. Saturday - Monday. International Labor Day Holiday - No classes.","Saturday - Monday."
"2027-05-04","2027-05-04","The Monday class schedule is in effect on this day.","DKU Academic Calendar 2026-2027. Tuesday. The Monday class schedule is in effect on this day.","Tuesday."
"2027-05-05","2027-05-05","The Tuesday class schedule is in effect on this day.","DKU Academic Calendar 2026-2027. Wednesday. The Tuesday class schedule is in effect on this day.","Wednesday."
"2027-05-06","2027-05-06","The Wednesday class schedule is in effect on this day.","DKU Academic Calendar 2026-2027. Thursday. The Wednesday class schedule is in effect on this day.","Thursday."
"2027-05-07","2027-05-07","The Thursday class schedule is in effect on this day. Second 7-week undergraduate session ends.","DKU Academic Calendar 2026-2027. Friday. The Thursday class schedule is in effect on this day. Second 7-week undergraduate session ends.","Friday."
"2027-05-05","2027-05-07","ECE program exam period.","DKU Academic Calendar 2026-2027. Wednesday - Friday. ECE program exam period.","Wednesday - Friday."
"2027-05-08","2027-05-09","Undergraduate reading days.","DKU Academic Calendar 2026-2027. Saturday - Sunday. Undergraduate reading days.","Saturday - Sunday."
"2027-05-10","2027-05-13","Undergraduate final exam period.","DKU Academic Calendar 2026-2027. Monday - Thursday. Undergraduate final exam period.","Monday - Thursday."
"2027-05-21","2027-05-21","Graduate and Undergraduate Commencement.","DKU Academic Calendar 2026-2027. Friday. Graduate and Undergraduate Commencement.","Friday."
"2027-05-22","2027-05-22","All residence halls close.","DKU Academic Calendar 2026-2027. Saturday at 13:00. All residence halls close.","Saturday at 13:00."
